index:ID,actor,:LABEL
1314111,卡雷尔·多布雷,person
1009977,伊莲娜·巴雷斯特罗斯,person
1095647,罗德尼·哈维,person
1329433,闵智贤,person
1006991,鲁特格尔·哈尔,person
1371122,克里斯托·弗克朗,person
1037178,阿拉贝拉·韦尔,person
1353155,吉塔娜·罗德里格斯,person
1054562,王学圻,person
1407304,维克托里娅·菲斯,person
1057318,约翰·安德森,person
1034356,大场真人,person
1366151,Louise Dorling,person
1022854,汤姆·麦高恩,person
1412306,马林·拉菲特,person
1381519,张宝儿,person
1387308,莉莉·戴,person
1315305,查尔斯·卡维尔,person
1108666,克里斯·拉金,person
1114713,木匠久美子,person
1343026,梅丽娜·肯德尔,person
1032164,杰特·弗罗比,person
1190752,马里亚诺·门多萨,person
1314060,尼尔斯·施内德,person
1053625,岛谷瞳,person
1394068,杰森· 莱恩斯,person
1347792,潘汉光,person
1315556,尹宰文,person
1249528,丹尼尔·弗利格,person
1142246,Curtis Rivers,person
1289150,元奎,person
1375568,宋光华,person
1274964,凯蒂·麦克格雷斯,person
1363366,Daniela Bakerová,person
1031217,瑞茜·威瑟斯彭,person
1079966,Terence Donovan,person
1069306,马丽娅·费尔南达·康基多,person
1018422,乔基科·米提克,person
1381371,吴迪,person
1194104,Forbes KB,person
1074853,Louise Carver,person
1372966,小凯文·哈里森,person
1129961,Harvey Parry,person
1367909,理查德·巴特勒,person
1026435,关户优希,person
1041159,阿尔法·伍达德,person
1384279,李辉,person
1374191,托马斯·洛索,person
1274673,陈燃,person
1323060,赵敏基,person
1000331,迈克尔·A·尼克尔斯,person
1383400,黛布拉·麦凯布,person
1314525,杨蕊,person
1054573,凯瑟琳·威尔霍特,person
1044912,大卫·艾根伯格,person
1315125,克雷格·帕金森,person
1159268,丹尼尔·斯图尔特·谢尔曼,person
1076168,戴安娜·布拉荞,person
1076779,Al Christy,person
1096620,维罗妮卡·哈特,person
1180379,巴斯·凯杰泽,person
1043737,袁伟豪,person
1404564,卡迪·B,person
1331577,山内春彦,person
1020941,西村知道,person
1455325,玛丽亚·卢斯·拉托雷,person
1032558,雷内·克莱芒,person
1335405,彼得·马克迪斯,person
1256982,蒂姆·明钦,person
1373171,蒂芙妮·福里斯特,person
1370337,切拉塞拉·约西费斯库,person
1218756,杰里·里德,person
1429831,Mátyás Prukner,person
1019125,赫尔穆特·贝格,person
1435574,莱迪·托马斯,person
1000606,克洛蒂尔·蔻洛,person
1041698,乌尔里希·诺登,person
1386077,茜尔拉·皮特金,person
1250527,杰克博·布莱尔,person
1289662,李炜尚,person
1359297,米哈利娜·奥利尚斯卡,person
1027415,克里斯蒂安·斯托特,person
1142052,尤卡·拉西拉,person
1049735,丹尼·努齐,person
1335383,约翰·阿基拉,person
1184983,William Cleere,person
1029249,吉本多香美,person
1009332,格什菲·法拉哈尼,person
1342171,罗萨丽·瓦尔达,person
1316583,王伟六,person
1228118,Nora Bauer,person
1356553,林妍柔,person
1179251,Craig Appel,person
1040666,杰奎琳·麦根斯,person
1370027,秦艺伟,person
1089270,Wolf Frees,person
1313993,尹昭德,person
1319793,刘静怡,person
1023208,亚瑟·纳平泰克,person
1386108,德米特里厄斯·布里吉斯,person
1346155,娜塔莉·戈尔德,person
1061660,Douglas Bernstein,person
1365278,刘易斯·阿伯内西,person
1116887,阿尔玛·马丁内斯,person
1028360,陈观泰,person
1413333,澎澎,person
1323370,谭洋,person
1391109,科里·格鲁特-安德鲁,person
1212008,斯蒂芬·罗波,person
1032052,雷尼·哈林,person
1405758,原田笃,person
1354272,扎克瑞·亚瑟,person
1345180,路易斯·索莱尔,person
1353722,葆拉·拉维妮,person
1391746,克里斯汀·乔艾里,person
1360778,凯特·罗斯,person
1216548,"""Meredith Tex Weatherby""",person
1059536,Peter Archer,person
1232676,伊兰迪尔·桑托斯,person
1069858,Ernest Capponi,person
1364834,王帅帅,person
1003727,三谷升,person
1037759,伏拉基米尔·布劳德斯基,person
1148044,崔洋一,person
1359301,丹·J·约翰逊,person
1327089,汉克·哈里斯,person
1316999,倪震,person
1014946,相叶雅纪,person
1142215,詹姆斯·希金,person
